Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,NUTCH-1039,12513665,,Fetcher fails for pages without content-length header,markus17,markus17,Major,Closed,Cannot Reproduce,11/Jul/11 12:52,22/May/13 03:53,
Improvement,Patch Available,NUTCH-629,12393801,,Detect slow and timeout servers and drop their URLs,otis,otis,Major,Closed,Won't Fix,12/Apr/08 07:06,22/May/13 03:53,
Bug,,NUTCH-858,12469850,,No longer able to set per-field boosts on lucene documents,ab,edwardd,Major,Closed,Fixed,21/Jul/10 19:41,22/May/13 03:53,
Test,Patch Available,NUTCH-1453,12603423,,Substantiate tests for IndexingFilters,amuseme.lu,lewismc,Major,Closed,Fixed,14/Aug/12 09:27,22/May/13 03:53,
Bug,,NUTCH-1206,12532116,,tika parser of nutch 1.3 is failing to prcess pdfs,chrismattmann,dibgho,Major,Closed,Not A Problem,21/Nov/11 07:01,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1352,12554127,,Improve regex urlfilters/normalizers synchronization,,ferdy.g,Major,Closed,Fixed,07/May/12 08:55,22/May/13 03:53,
Sub-task,,NUTCH-1161,12526738,12526733,Write JUnit tests for microformats-reltag plugin,lewismc,lewismc,Major,Closed,Fixed,11/Oct/11 20:20,22/May/13 03:53,
Bug,,NUTCH-1392,12560581,,-force and -resume arguments being ignored in ParserJob,,lewismc,Major,Closed,Fixed,13/Jun/12 23:34,22/May/13 03:53,
Improvement,,NUTCH-1401,12595102,,Upgrade to Hadoop 1.0.3,jnioche,jnioche,Major,Closed,Fixed,19/Jun/12 12:46,22/May/13 03:53,
New Feature,Patch Available,NUTCH-779,12445841,,Mechanism for passing metadata from parse to crawldb,jnioche,jnioche,Major,Closed,Fixed,18/Jan/10 16:53,22/May/13 03:53,
New Feature,,NUTCH-1434,12599614,,Indexer to delete robots noIndex,markus17,markus17,Major,Closed,Fixed,20/Jul/12 11:35,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1142,12525430,,Normalization and filtering in WebGraph,markus17,markus17,Major,Closed,Fixed,01/Oct/11 11:54,22/May/13 03:53,
Bug,,NUTCH-793,12456297,,search.jsp compile errors,siren,siren,Major,Closed,Fixed,15/Feb/10 08:09,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1510,12624989,,Upgrade to Hadoop 1.1.1,markus17,markus17,Major,Closed,Fixed,21/Dec/12 13:30,22/May/13 03:53,
Wish,,NUTCH-960,12496320,,Language ID - confidence factor,,maa,Major,Closed,Won't Fix,21/Jan/11 19:19,22/May/13 03:53,
New Feature,,NUTCH-422,12359503,,"index-extra plugin creates additional fields in the index, based on configurable logic",siren,alantanaman,Major,Closed,Duplicate,28/Dec/06 19:22,22/May/13 03:53,
Bug,,NUTCH-1432,12599415,,"property storage.schema does not work anymore, should be storage.schema.webpage and storage.schema.host",,ferdy.g,Major,Closed,Fixed,19/Jul/12 07:35,22/May/13 03:53,
Improvement,,NUTCH-931,12478621,,Simple admin API to fetch status and stop the service,ab,ab,Major,Closed,Fixed,28/Oct/10 21:03,22/May/13 03:53,
Bug,Patch Available,NUTCH-1509,12624982,,Implement read/write in NutchField,markus17,markus17,Major,Closed,Fixed,21/Dec/12 12:06,22/May/13 03:53,
Improvement,,NUTCH-930,12478618,,Remove remaining dependencies on Lucene API,ab,ab,Major,Closed,Fixed,28/Oct/10 20:39,22/May/13 03:53,
Bug,,NUTCH-832,12467794,,Website menu has lots of broken links - in particular the API docs,chrismattmann,alexmc,Major,Closed,Fixed,24/Jun/10 11:11,22/May/13 03:53,
Bug,,NUTCH-1466,12606373,,SolrDeleteDuplicates: java.io.IOException: Job failed!,,jepse,Major,Closed,Not A Problem,06/Sep/12 09:17,22/May/13 03:53,
Bug,Patch Available,NUTCH-1252,12538759,,SegmentReader -get shows wrong data,snagel,snagel,Major,Closed,Fixed,18/Jan/12 08:58,22/May/13 03:53,
Bug,Patch Available,NUTCH-891,12471984,,Nutch build should not depend on unversioned local deps,,ab,Major,Closed,Invalid,19/Aug/10 10:54,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1412,12596252,,Upgrade commons lang,markus17,markus17,Major,Closed,Fixed,28/Jun/12 12:28,22/May/13 03:53,
Bug,,NUTCH-794,12456400,,Language Identification must use check the parse metadata for language values ,jnioche,jnioche,Major,Closed,Fixed,16/Feb/10 09:30,22/May/13 03:53,
Improvement,,NUTCH-856,12469464,,Use Tika for parsing feed,jnioche,jnioche,Major,Closed,Fixed,16/Jul/10 15:17,22/May/13 03:53,
Task,,NUTCH-792,12456269,,Nutch version still contains 1.0,siren,siren,Major,Closed,Fixed,14/Feb/10 17:09,22/May/13 03:53,
Improvement,,NUTCH-1433,12599457,,Upgrade to Tika 1.2,jnioche,jnioche,Major,Closed,Fixed,19/Jul/12 12:43,22/May/13 03:53,
Sub-task,,NUTCH-1159,12526735,12526733,Write JUnit tests for index-anchor,lewismc,lewismc,Major,Closed,Fixed,11/Oct/11 20:18,22/May/13 03:53,
Bug,,NUTCH-878,12471172,,ScoringFilters should not override the injected score ,jnioche,jnioche,Major,Closed,Fixed,10/Aug/10 08:27,22/May/13 03:53,
Bug,,NUTCH-890,12471983,,SqlStore doesn't work with nested types in Avro schema,,ab,Major,Closed,Fixed,19/Aug/10 10:40,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1330,12549876,,OutlinkDB to preserve back up,markus17,markus17,Major,Closed,Fixed,06/Apr/12 13:08,22/May/13 03:53,
Improvement,,NUTCH-1064,12514599,,o.a.n.util.MimeUtil uses deprecated Tika methods,jnioche,jnioche,Major,Closed,Duplicate,19/Jul/11 15:07,22/May/13 03:53,
Sub-task,,NUTCH-1277,12542542,12538444,Fix [fallthrough] javac warnings,tejasp,lewismc,Major,Closed,Fixed,14/Feb/12 14:49,22/May/13 03:53,
Bug,,NUTCH-1053,12514187,,Parsing of RSS feeds fails ,jnioche,jnioche,Major,Closed,Fixed,15/Jul/11 09:29,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1061,12514575,,Migrate MoreIndexingFilter from Apache ORO to java.util.regex,markus17,markus17,Major,Closed,Fixed,19/Jul/11 12:01,22/May/13 03:53,
Bug,,NUTCH-1215,12533147,,UpdateDB should not require segment as input,,markus17,Major,Closed,Fixed,29/Nov/11 17:18,22/May/13 03:53,
Bug,Patch Available,NUTCH-982,12504069,,Remove copying of ID and URL field in solrmapping,markus17,markus17,Major,Closed,Fixed,12/Apr/11 15:21,22/May/13 03:53,
Bug,Patch Available,NUTCH-1491,12614912,,UTF-8 non-character codepoints in title,markus17,xabbu42,Major,Closed,Fixed,06/Nov/12 07:26,22/May/13 03:53,
Improvement,,NUTCH-801,12458664,,Remove RTF and MP3 parse plugins,,jnioche,Major,Closed,Fixed,10/Mar/10 14:45,22/May/13 03:53,
Task,,NUTCH-1234,12536038,,Upgrade to Tika 1.1,markus17,markus17,Major,Closed,Fixed,21/Dec/11 16:00,22/May/13 03:53,
Improvement,,NUTCH-843,12468729,,Separate the build and runtime environments,ab,ab,Major,Closed,Fixed,07/Jul/10 15:38,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1356,12554151,,ParseUtil use ExecutorService instead of manually thread handling.,,ferdy.g,Major,Closed,Fixed,07/May/12 12:10,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1153,12526232,,LinkRank must not log all hyperlinks,markus17,markus17,Major,Closed,Fixed,07/Oct/11 16:04,22/May/13 03:53,
Bug,Patch Available,NUTCH-1334,12551050,,NPE in FetcherOutputFormat ,,jnioche,Major,Closed,Fixed,16/Apr/12 12:51,22/May/13 03:53,
Improvement,,NUTCH-816,12463142,,Add zip target to build.xml,chrismattmann,chrismattmann,Major,Closed,Fixed,27/Apr/10 19:53,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1242,12537254,,Allow disabling of URL Filters in ParseSegment,markus17,edwardd,Major,Closed,Fixed,04/Jan/12 22:31,22/May/13 03:53,
Bug,,NUTCH-1017,12511678,,Exception getting mime type by name,markus17,markus17,Major,Closed,Fixed,27/Jun/11 19:29,22/May/13 03:53,
Bug,Patch Available,NUTCH-1436,12599894,,bin/nutch absent in zip package,,snagel,Major,Closed,Won't Fix,23/Jul/12 19:58,22/May/13 03:53,
Sub-task,,NUTCH-1162,12526739,12526733,Write JUnit tests for parse-js,lewismc,lewismc,Major,Closed,Fixed,11/Oct/11 20:21,22/May/13 03:53,
Improvement,,NUTCH-955,12495118,,Ivy configuration,ab,alexis779,Major,Closed,Fixed,10/Jan/11 10:18,22/May/13 03:53,
Bug,Patch Available,NUTCH-1552,12640389,,possibility of a NPE in index-more plugin,,kaveh,Major,Closed,Fixed,02/Apr/13 22:00,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1398,12560778,,Upgrade to Hadoop 1.0.3,jnioche,jnioche,Major,Closed,Fixed,15/Jun/12 14:05,22/May/13 03:53,
Bug,,NUTCH-1549,12639669,,Fix deprecated use of Tika MimeType API in o.a.n.util.MimeUtil ,tejasp,lewismc,Major,Closed,Fixed,28/Mar/13 20:00,22/May/13 03:53,
New Feature,,NUTCH-734,12424455,,"option to filter ""a"" tag text",,rzorzorzo,Major,Closed,Won't Fix,02/May/09 11:47,22/May/13 03:53,
Improvement,,NUTCH-1283,12543241,,Radically update all Solr configuration in Nutchgora,,lewismc,Major,Closed,Not A Problem,19/Feb/12 12:50,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1407,12595427,,BasicIndexingFilter to optionally add domain field,markus17,markus17,Major,Closed,Fixed,21/Jun/12 12:59,22/May/13 03:53,
Bug,,NUTCH-1540,12635678,,Add Gora buffered read and write maximum limits to nutch-default.xml configuration.,,lewismc,Major,Closed,Fixed,06/Mar/13 22:37,22/May/13 03:53,
Bug,Patch Available,NUTCH-1493,12615201,,Error adding field 'contentLength'='' during solrindex using index-more,lewismc,xabbu42,Major,Closed,Fixed,07/Nov/12 17:51,22/May/13 03:53,
Improvement,,NUTCH-1450,12603283,,Upgrade to gora deps to 0.2.1,lewismc,lewismc,Major,Closed,Fixed,13/Aug/12 17:18,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1506,12624971,,Add UPDATE action to NutchIndexAction ,markus17,markus17,Major,Closed,Fixed,21/Dec/12 10:45,22/May/13 03:53,
Improvement,,NUTCH-1256,12539638,,WebGraph to dump host + score,markus17,markus17,Major,Closed,Fixed,24/Jan/12 17:25,22/May/13 03:53,
Improvement,,NUTCH-884,12471286,,FetcherJob should run more reduce tasks than default,ab,ab,Major,Closed,Fixed,11/Aug/10 13:25,22/May/13 03:53,
Bug,,NUTCH-845,12468820,,Native hadoop libs not available through maven,ab,ab,Major,Closed,Fixed,08/Jul/10 13:34,22/May/13 03:53,
Bug,,NUTCH-1042,12513792,,Fetcher.max.crawl.delay property not taken into account correctly when set to -1,lewismc,nutch_user_1,Major,Closed,Fixed,12/Jul/11 14:29,22/May/13 03:53,
Bug,,NUTCH-974,12503374,,Parsing Error in Nutch 1.2 on Windows7,markus17,unsigned_mind,Major,Closed,Cannot Reproduce,05/Apr/11 08:20,22/May/13 03:53,
Bug,Patch Available,NUTCH-906,12473992,,Nutch OpenSearch sometimes raises DOMExceptions due to Lucene column names not being valid XML tag names,ab,paulproteus,Major,Closed,Fixed,13/Sep/10 19:13,22/May/13 03:53,
Bug,Patch Available,NUTCH-1399,12593966,,TestProtocolHttpClient fails,jnioche,jnioche,Major,Closed,Fixed,17/Jun/12 17:04,22/May/13 03:53,
Bug,Patch Available,NUTCH-950,12494395,,"Content-Length limit, URL filter and few minor issues",,alexis779,Major,Closed,Fixed,01/Jan/11 08:06,22/May/13 03:53,
Bug,,NUTCH-745,12430020,,"MyHtmlParser getParse return not null，so all Analyzer-(zh|fr) cannot run",,xiatian,Major,Closed,Invalid,10/Jul/09 05:38,22/May/13 03:53,
Bug,,NUTCH-1435,12599759,,Host jobs throw NullPointerException with MySQL,lewismc,lewismc,Major,Closed,Fixed,22/Jul/12 12:44,22/May/13 03:53,
Bug,,NUTCH-1390,12560578,,readdb -url $url throws NPE with gora-cassandra,,lewismc,Major,Closed,Fixed,13/Jun/12 23:24,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1346,12552318,,Follow outlinks to ignore external,markus17,markus17,Major,Closed,Fixed,24/Apr/12 14:03,22/May/13 03:53,
Bug,Patch Available,NUTCH-868,12470609,,ParseSegment NullPointerException,jnioche,maxlynch,Major,Closed,Fixed,02/Aug/10 02:51,22/May/13 03:53,
Improvement,Patch Available,NUTCH-1139,12525317,,Indexer to delete documents,markus17,markus17,Major,Closed,Fixed,30/Sep/11 14:08,22/May/13 03:53,
Improvement,,NUTCH-798,12457578,,Upgrade to SOLR1.4,,jnioche,Major,Closed,Fixed,26/Feb/10 15:23,22/May/13 03:53,
New Feature,,NUTCH-932,12478674,,Bulk REST API to retrieve crawl results as JSON,ab,ab,Major,Closed,Fixed,29/Oct/10 17:00,22/May/13 03:53,
Bug,,NUTCH-1418,12596686,,error parsing robots rules- can't decode path: /wiki/Wikipedia%3Mediation_Committee/,,parijip,Major,Closed,Fixed,02/Jul/12 18:05,22/May/13 03:53,
Bug,Patch Available,NUTCH-956,12495544,,solrindex issues,snagel,alexis779,Major,Closed,Fixed,13/Jan/11 21:31,22/May/13 03:53,
Improvement,,NUTCH-1231,12535995,,Upgrade to Tika 1.0,markus17,markus17,Major,Closed,Fixed,21/Dec/11 11:30,22/May/13 03:53,
New Feature,Patch Available,NUTCH-1336,12551195,,Optionally not index db_notmodified pages,markus17,markus17,Major,Closed,Fixed,17/Apr/12 10:06,22/May/13 03:53,
Bug,Patch Available,NUTCH-788,12455984,,search.jsp typo causing searches to fail,siren,sammy.yu,Major,Closed,Fixed,11/Feb/10 05:40,22/May/13 03:53,
Bug,Patch Available,NUTCH-1299,12545260,,LinkRank inverter to ignore records without Node,markus17,markus17,Major,Closed,Fixed,06/Mar/12 00:35,22/May/13 03:53,
Bug,Patch Available,NUTCH-1259,12539765,,Store detected content type in crawldatum metadata,jnioche,markus17,Major,Closed,Fixed,25/Jan/12 13:35,22/May/13 03:53,
Bug,,NUTCH-1544,12636566,,Nutch crawls only first site from seed list,,adam89,Major,Closed,Invalid,12/Mar/13 13:00,22/May/13 03:53,
Sub-task,,NUTCH-1094,12520005,12471269,create comprehensive documentation for Nutchgora branch,,lewismc,Major,Closed,Fixed,24/Aug/11 18:47,22/May/13 03:53,
Improvement,,NUTCH-728,12417297,,Improve nutch release packaging,,siren,Major,Closed,Won't Fix,19/Mar/09 17:13,22/May/13 03:53,
Bug,,NUTCH-1041,12513692,,Not reading mime-type correctly,,markus17,Major,Closed,Fixed,11/Jul/11 16:54,22/May/13 03:53,
Improvement,,NUTCH-905,12473892,,Configurable file protocol parent directory crawling,chrismattmann,chrismattmann,Major,Closed,Fixed,11/Sep/10 01:57,22/May/13 03:53,
Improvement,Patch Available,NUTCH-842,12468479,,AutoGenerate WebPage code,dogacan,dogacan,Major,Closed,Fixed,03/Jul/10 07:45,22/May/13 03:53,
Bug,Patch Available,NUTCH-908,12474317,,Infinite Loop and Null Pointer Bugs in Searching,chrismattmann,musepwizard,Major,Closed,Fixed,16/Sep/10 20:10,22/May/13 03:53,16/Sep/10 00:00
New Feature,,NUTCH-880,12471265,,REST API for Nutch,ab,ab,Major,Closed,Fixed,11/Aug/10 09:49,22/May/13 03:53,
Bug,Patch Available,NUTCH-802,12459502,,Problems managing outlinks with large url length,ab,elaragon,Major,Closed,Won't Fix,18/Mar/10 10:39,22/May/13 03:53,
New Feature,Patch Available,NUTCH-809,12461022,,Parse-metatags plugin,jnioche,jnioche,Major,Closed,Fixed,02/Apr/10 14:15,02/May/13 02:30,
Improvement,Patch Available,NUTCH-1340,12551477,,Increase scalability by only removing markers when they actually exist for DbUpdaterReducer,,ferdy.g,Major,Closed,Fixed,18/Apr/12 14:37,02/May/13 02:29,
Task,,NUTCH-967,12498908,,Upgrade to Tika 0.9,jnioche,markus17,Major,Closed,Fixed,17/Feb/11 16:02,02/May/13 02:29,
New Feature,,NUTCH-650,12404638,,Hbase Integration,dogacan,dogacan,Major,Closed,Fixed,18/Sep/08 12:03,02/May/13 02:29,
New Feature,Patch Available,NUTCH-635,12398182,,LinkAnalysis Tool for Nutch,musepwizard,musepwizard,Major,Closed,Fixed,12/Jun/08 18:11,02/May/13 02:29,12/Jun/08 00:00
New Feature,Patch Available,NUTCH-647,12402602,,Resolve URLs tool,musepwizard,musepwizard,Major,Closed,Fixed,19/Aug/08 04:05,02/May/13 02:29,18/Aug/08 00:00
New Feature,Patch Available,NUTCH-646,12402601,,New Indexing Framework for Nutch,musepwizard,musepwizard,Major,Closed,Fixed,19/Aug/08 04:03,02/May/13 02:29,18/Aug/08 00:00
Improvement,,NUTCH-501,12371867,,Implement a different caching mechanism for objects cached in configuration,dogacan,dogacan,Major,Closed,Fixed,18/Jun/07 12:03,02/May/13 02:29,
Improvement,,NUTCH-552,12378175,,Upgrade Nutch to Hadoop 0.15.x,musepwizard,ab,Major,Closed,Fixed,13/Sep/07 16:09,02/May/13 02:29,
Bug,,NUTCH-353,12348196,,pages that serverside forwards will be refetched every time,ab,joa23,Major,Closed,Fixed,18/Aug/06 04:50,02/May/13 02:28,
Bug,,NUTCH-1329,12549488,,parser not extract outlinks to external web sites,,behnam.nikbakht,Major,Closed,Cannot Reproduce,04/Apr/12 12:20,30/Apr/13 20:56,
Bug,,NUTCH-1455,12603517,,RobotRulesParser to match multi-word user-agent names,tejasp,snagel,Major,Closed,Fixed,14/Aug/12 22:02,29/Apr/13 20:32,
Improvement,,NUTCH-1538,12635115,,tuning of loaded fields during fetcherJob start-up,,rherget,Major,Open,,04/Mar/13 12:41,01/Apr/13 01:04,
Bug,,NUTCH-1535,12633597,,Crawl crashes with java.io.exception,,adam89,Major,Closed,Fixed,22/Feb/13 12:05,12/Mar/13 12:54,
Bug,,NUTCH-807,12461001,,JSParseFilter produces malformed URL,,minyaozhu,Major,Closed,Won't Fix,02/Apr/10 07:31,09/Dec/12 07:39,
Improvement,,NUTCH-872,12470904,,Change the default fetcher.parse to FALSE,,ab,Major,Closed,Fixed,05/Aug/10 13:54,10/Sep/12 11:52,
Bug,,NUTCH-1456,12603573,,Updater not setting batchId in markers correctly.,,ferdy.g,Major,Closed,Fixed,15/Aug/12 12:10,07/Sep/12 14:21,
Improvement,,NUTCH-1459,12603833,,Remove dead code (phase2) from InjectorJob,,ferdy.g,Major,Closed,Fixed,17/Aug/12 09:14,07/Sep/12 10:41,
New Feature,Patch Available,NUTCH-1431,12599244,,Introduce link 'distance' and add configurable max distance in the generator,,ferdy.g,Major,Closed,Fixed,18/Jul/12 10:18,01/Sep/12 04:16,
Bug,,NUTCH-1462,12605680,,Elasticsearch not indexing when type==null in NutchDocument metadata,,ferdy.g,Major,Closed,Fixed,31/Aug/12 12:35,01/Sep/12 04:16,
Improvement,,NUTCH-1448,12603196,,Redirected urls should be handled more cleanly (more like an outlink url),,ferdy.g,Major,Closed,Fixed,13/Aug/12 08:46,01/Sep/12 04:16,
New Feature,,NUTCH-1445,12601069,,Add ElasticIndexerJob that indexes to elasticsearch,,ferdy.g,Major,Closed,Fixed,01/Aug/12 14:12,31/Aug/12 12:41,
Bug,,NUTCH-1460,12604234,,407 Proxy Failure,,jay6792,Major,Closed,Fixed,21/Aug/12 15:10,21/Aug/12 19:56,
Bug,,NUTCH-1442,12600650,,indexingfilter.order is property is misread in code,lewismc,ferdy.g,Major,Closed,Fixed,30/Jul/12 12:40,14/Aug/12 09:28,
Bug,Patch Available,NUTCH-1365,12554642,,Fix crawlId functionalilty by making using of new gora configuration,,ferdy.g,Major,Closed,Fixed,10/May/12 07:53,14/Aug/12 07:31,
Bug,,NUTCH-1444,12601066,,Indexing should not create temporary files (do not extend from FileOutputFormat),,ferdy.g,Major,Closed,Fixed,01/Aug/12 13:48,07/Aug/12 07:09,
Bug,,NUTCH-1440,12600457,,reconfigure non-existent stopwords_en.txt in schema-solr4.xml ,,lewismc,Major,Closed,Fixed,27/Jul/12 11:36,28/Jul/12 04:21,
Bug,,NUTCH-1328,12549276,,a problem with regex-normalize.xml,,behnam.nikbakht,Major,Closed,Duplicate,03/Apr/12 05:12,10/Jul/12 21:20,
New Feature,Patch Available,NUTCH-628,12393800,,Host database to keep track of host-level information,,otis,Major,Closed,Duplicate,12/Apr/08 04:19,09/Jul/12 13:54,
Bug,Patch Available,NUTCH-1396,12560746,,Upgrade to Tika 1.1,jnioche,jnioche,Major,Closed,Fixed,15/Jun/12 09:49,15/Jun/12 16:59,
Bug,,NUTCH-1361,12554494,,Fix mishandling of malformed urls in generator job ,,lewismc,Major,Closed,Fixed,09/May/12 14:05,08/Jun/12 14:06,
Bug,Patch Available,NUTCH-1379,12558563,,NPE when reprUrl is null in ParseUtil,,ferdy.g,Major,Closed,Fixed,30/May/12 09:24,30/May/12 09:28,
Bug,Patch Available,NUTCH-1378,12557014,,HostDb NullPointerException,,ferdy.g,Major,Closed,Fixed,23/May/12 14:45,24/May/12 05:26,
Improvement,,NUTCH-1372,12556839,,Improve execution of normalisers,,lewismc,Major,Closed,Invalid,22/May/12 10:35,22/May/12 10:41,
New Feature,,NUTCH-1367,12554992,,Port ParserChecker to Nutchgora,,lewismc,Major,Closed,Not A Problem,12/May/12 00:04,16/May/12 10:32,
Bug,,NUTCH-1368,12555299,,SolrDeleteDuplicates.java:270,,forwardswing,Major,Closed,Duplicate,15/May/12 08:25,15/May/12 08:30,
Improvement,Patch Available,NUTCH-1366,12554898,,speed up indexing by eliminating the indexreducer,,ferdy.g,Major,Closed,Fixed,11/May/12 12:38,15/May/12 05:42,
Bug,,NUTCH-1362,12554495,,Fix error handling of urls with empty fields ,,lewismc,Major,Closed,Fixed,09/May/12 14:09,12/May/12 04:17,
Bug,,NUTCH-1077,12518335,,Nutch 2 DbUpdateMapper throws ArrayOutOfBoundsException when running update,,tdcovario,Major,Closed,Duplicate,09/Aug/11 17:18,11/May/12 09:12,
Bug,,NUTCH-1026,12512345,,Strip UTF-8 non-character codepoints,,markus17,Major,Closed,Fixed,30/Jun/11 16:18,11/May/12 04:16,
Bug,,NUTCH-1363,12554496,,Make parsing in FetcherJob actually work.,,lewismc,Major,Closed,Not A Problem,09/May/12 14:11,10/May/12 20:37,
Bug,Patch Available,NUTCH-1016,12511655,,Strip UTF-8 non-character codepoints,markus17,markus17,Major,Closed,Fixed,27/Jun/11 15:45,09/May/12 14:06,
New Feature,Patch Available,NUTCH-1355,12554144,,nutchgora Configure minimum throughput for fetcher,,ferdy.g,Major,Closed,Fixed,07/May/12 11:45,09/May/12 04:16,
New Feature,Patch Available,NUTCH-902,12473571,,Add all necessary files and configuration so that nutch can be used with different backends out-of-the-box,lewismc,enis,Major,Closed,Fixed,08/Sep/10 13:38,05/May/12 00:59,
Bug,,NUTCH-896,12472933,,Gora-based tests need to have their own config files ,jnioche,jnioche,Major,Closed,Fixed,31/Aug/10 11:26,03/May/12 15:30,
Bug,,NUTCH-1348,12553527,,Solrindexer fails with a java.io.IOException error.,,mr.johnsson,Major,Closed,Cannot Reproduce,01/May/12 19:40,03/May/12 11:45,
Bug,,NUTCH-1332,12550813,,db.max.outlinks.per.page not honored,,markus17,Major,Closed,Not A Problem,13/Apr/12 10:47,01/May/12 12:42,
New Feature,Patch Available,NUTCH-882,12471273,,Design a Host table in GORA,,jnioche,Major,Closed,Fixed,11/Aug/10 11:26,27/Apr/12 05:37,
Sub-task,Patch Available,NUTCH-1189,12529685,12473571,add commented out default settings to gora.properties files ,lewismc,lewismc,Major,Closed,Fixed,01/Nov/11 15:28,27/Apr/12 05:37,
Improvement,,NUTCH-1322,12548865,,Indexer not to reindex unmodified docs,,markus17,Major,Closed,Duplicate,30/Mar/12 20:05,23/Apr/12 08:53,
Improvement,,NUTCH-1246,12538209,,Upgrade to Hadoop 1.0.0,,jnioche,Major,Closed,Fixed,12/Jan/12 15:40,18/Apr/12 09:37,
New Feature,Patch Available,NUTCH-1333,12550998,,"Introduce AvroStore, DataFileAvroStore and Accumulo Datastore implementations",lewismc,lewismc,Major,Closed,Fixed,15/Apr/12 18:18,15/Apr/12 19:01,
Bug,,NUTCH-1302,12545333,,nutchgora job failures should be noticed by submitter,ferdy.g,ferdy.g,Major,Closed,Fixed,06/Mar/12 12:32,07/Mar/12 04:13,
Bug,Patch Available,NUTCH-1289,12544240,,In distributed mode URL's are not partitioned,,rosher,Major,Closed,Fixed,27/Feb/12 11:06,06/Mar/12 10:43,
Bug,Patch Available,NUTCH-1295,12544910,,nutchgora restlet dependencies failing when remote repos is down,,ferdy.g,Major,Closed,Fixed,02/Mar/12 09:53,03/Mar/12 04:18,
Improvement,Patch Available,NUTCH-965,12498011,,Skip parsing for truncated documents,lewismc,alexis779,Major,Closed,Fixed,08/Feb/11 17:37,25/Feb/12 04:29,
Sub-task,,NUTCH-1276,12542540,12538444,Fix [dep-ann],,lewismc,Major,Closed,Fixed,14/Feb/12 14:42,19/Feb/12 19:40,
Improvement,Patch Available,NUTCH-1237,12536426,,Improve javac arguements for more verbose output ,lewismc,lewismc,Major,Closed,Fixed,27/Dec/11 16:23,06/Jan/12 04:24,
Improvement,Patch Available,NUTCH-1217,12534173,,Update NOTICE.txt to drop some copyrights,lewismc,lewismc,Major,Closed,Fixed,07/Dec/11 12:13,27/Dec/11 05:12,
Bug,,NUTCH-925,12478143,,plugins stored in weakhashmap lead memory leak,,lc82111,Major,Closed,Duplicate,23/Oct/10 09:35,20/Dec/11 13:25,
Improvement,,NUTCH-1195,12529971,,Add Solr 4x (trunk) example schema,ab,ab,Major,Closed,Fixed,02/Nov/11 23:23,20/Dec/11 11:30,
New Feature,Patch Available,NUTCH-1101,12520903,,Options to purge db_gone records in updatedb,markus17,markus17,Major,Closed,Fixed,31/Aug/11 10:14,20/Dec/11 11:30,
Improvement,,NUTCH-1154,12526252,,Upgrade to Tika 0.10,ab,ab,Major,Closed,Fixed,07/Oct/11 18:45,20/Dec/11 11:30,
Improvement,Patch Available,NUTCH-1057,12514334,,Make fetcher thread time out configurable,markus17,markus17,Major,Closed,Fixed,16/Jul/11 17:31,20/Dec/11 11:30,
Improvement,,NUTCH-1115,12523579,,Option to disable fixing of embedded params in DomContentUtils,markus17,markus17,Major,Closed,Fixed,19/Sep/11 16:53,20/Dec/11 11:30,
Task,Patch Available,NUTCH-1054,12514206,,Make linkDB optional during indexing,,jnioche,Major,Closed,Fixed,15/Jul/11 12:00,20/Dec/11 11:30,
Improvement,Patch Available,NUTCH-1013,12511470,,Migrate RegexURLNormalizer from Apache ORO to java.util.regex,markus17,markus17,Major,Closed,Fixed,24/Jun/11 13:15,20/Dec/11 11:30,
Improvement,Patch Available,NUTCH-1052,12514130,,Multiple deletes of the same URL using SolrClean,jnioche,tim.pease,Major,Closed,Won't Fix,14/Jul/11 21:59,20/Dec/11 11:30,
Improvement,Patch Available,NUTCH-1075,12516866,,Delegate language identification to Tika,jnioche,jnioche,Major,Closed,Fixed,02/Aug/11 06:20,20/Dec/11 11:30,
Improvement,,NUTCH-1152,12526230,,Upgrade to SolrJ 3.4.0,ab,ab,Major,Closed,Fixed,07/Oct/11 15:51,20/Dec/11 11:30,
Sub-task,,NUTCH-1092,12520003,12471269,overhaul FAQ's and publish to Nutch site,lewismc,lewismc,Major,Closed,Fixed,24/Aug/11 18:36,20/Dec/11 11:30,
Improvement,Patch Available,NUTCH-1085,12519672,,Nutch script does not require HADOOP_HOME,jnioche,jnioche,Major,Closed,Fixed,22/Aug/11 11:41,20/Dec/11 11:30,
Bug,,NUTCH-1074,12515919,,topN is ignored with maxNumSegments,markus17,markus17,Major,Closed,Fixed,01/Aug/11 14:07,20/Dec/11 11:30,
